long,lat,name,virtual,investments,cannot_nonessential,cannot_essential
-74.006,40.7128,New York City,26,20,18,35
-118.24368,34.05223,Los Angeles,25,19,22,34
-77.0363693,38.8951111,"Washington, D.C.",33,20,17,30
-96.8066711,32.7830582,Dallas,26,18,18,38
-122.335167,47.608013,Seattle,28,19,17,36
-83.045753,42.331429,Detroit,28,19,18,35
-90.0750732,29.9546509,New Orleans,19,19,20,41
-104.991531,39.742043,Denver,29,19,17,35
-84.38633,33.753746,Atlanta,27,19,16,38
-86.148003,39.791,Indianapolis,23,17,16,43
