data.id,long,lat,status,name,category,category2,essential_flag,chain_flag,corridor,sidewalk_width,histogram_column,image
1,-73.92126255,40.8168297,Occupied,Envy Nail Salon,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
2,-73.9210852,40.81677508,Occupied,10and2 Driving School,Groups,Groups,Non-essential,TRUE,Hub,9,#N/A,
3,-73.92077447,40.81666959,Occupied,Patricia Taveras ,Misc,Misc,Non-essential,TRUE,Hub,9,#N/A,
4,-73.92127166,40.81718955,Occupied,Raymond Schwartzberg ,Misc,Misc,Non-essential,TRUE,Hub,9,#N/A,
5,-73.92073457,40.81705438,Occupied,Adorable Uniforms,Fashion,Fashion,Non-essential,TRUE,Hub,9,#N/A,
6,-73.92005405,40.81651868,Occupied,Tai Chi Spa & Massage,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
7,-73.91806113,40.81635826,Occupied,Heaven Jewelry,Fashion,Fashion,Non-essential,TRUE,Hub,12,#N/A,
8,-73.91384925,40.8194039,Occupied,Money Tax,Services,Services,Essential,TRUE,Hub,14,#N/A,
9,-73.91624388,40.81631709,Occupied,Westchester Flower Shop,Home & Hobby,Home,Non-essential,TRUE,Hub,9,#N/A,
10,-73.91707203,40.81655378,Occupied,Shauda,Body,Body,Non-essential,TRUE,Hub,9,#N/A,
11,-73.91839133,40.81580354,Occupied,At Home Mattress,Home & Hobby,Home,Non-essential,TRUE,Hub,15,#N/A,
12,-73.91839799,40.81491451,Occupied,Academy Care Givers,Misc,Misc,Non-essential,TRUE,Hub,10,#N/A,
13,-73.91809647,40.81483517,Occupied,Paul's House,Services,Services,Non-essential,TRUE,Hub,7,#N/A,
14,-73.91861574,40.81527672,Occupied,Personal Touch Home Care Training Center,Misc,Misc,Non-essential,TRUE,Hub,25,#N/A,
15,-73.91855399,40.81577466,Occupied,Bronx Coworking Space,Groups,Groups,Non-essential,TRUE,Hub,15,#N/A,
16,-73.91857528,40.81579665,Occupied,Third Avenue Business Improvement District ,Misc,Misc,Non-essential,TRUE,Hub,15,#N/A,
17,-73.92028233,40.81692162,Occupied,"City Pro Group, Inc.",Groups,Groups,Non-essential,TRUE,Hub,9,#N/A,
18,-73.92026775,40.8169548,Occupied,Applied Behavioral Interventions,Groups,Groups,Non-essential,TRUE,Hub,9,#N/A,
