Major,Total,Rank,Major_code,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,old_hist_column,old_midpoint,Histogram_column,rank1,midpoint
Craft Artists,24040.10438,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,15400,Industrial,,,,,,,,,,,,,,,,,1,22250,1,1,10000
Shampooers,21109.996,,,,,Personal Care and Service,"Cannot work remotely, non-essential",20300,Retail/Services,,,,,,,,,,,,,,,,,2,22250,1,1,20000
Gaming Dealers,101972.7411,,,,,Personal Care and Service,"Cannot work remotely, non-essential",20700,Retail/Services,,,,,,,,,,,,,,,,,2,24750,2,2,20000
Childcare Workers,1202028.239,,,,,Personal Care and Service,"Cannot work remotely, non-essential",20900,Other/Mixed,,,,,,,,,,,,,,,,,2,27250,3,3,20000
"Combined Food Preparation and Serving Workers, Including Fast Food",3699587.317,,,,,Food Preparation and Serving,"Cannot work remotely, essential",21300,Retail/Services,,,,,,,,,,,,,,,,,2,29750,4,4,20000
Waiters and Waitresses,2602040.608,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",21800,Retail/Services,,,,,,,,,,,,,,,,,2,32250,5,5,20000
"Cooks, Fast Food",500565.8248,,,,,Food Preparation and Serving,"Cannot work remotely, essential",22200,Retail/Services,,,,,,,,,,,,,,,,,2,34750,6,6,20000
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",418703.7376,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",22200,Retail/Services,,,,,,,,,,,,,,,,,2,37250,7,7,20000
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",483360.3088,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",22300,Retail/Services,,,,,,,,,,,,,,,,,2,39750,8,8,20000
Dining Room and Cafeteria Attendants and Bartender Helpers,465502.6735,,,,,Food Preparation and Serving,"Cannot work remotely, essential",22300,Retail/Services,,,,,,,,,,,,,,,,,2,42250,9,9,20000
"Ushers, Lobby Attendants, and Ticket Takers",143967.2604,,,,,Personal Care and Service,"Cannot work remotely, non-essential",22300,Retail/Services,,,,,,,,,,,,,,,,,2,44750,10,10,20000
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",156617.3929,,,,,Protective Service,"Cannot work remotely, non-essential",22400,Institutional,,,,,,,,,,,,,,,,,2,47250,11,11,20000
Amusement and Recreation Attendants,341071.5474,,,,,Personal Care and Service,"Cannot work remotely, non-essential",22400,Retail/Services,,,,,,,,,,,,,,,,,2,49750,12,12,20000
Cashiers,3642276.386,,,,,Sales and Related,"Cannot work remotely, non-essential",22400,Retail/Services,,,,,,,,,,,,,,,,,2,52250,13,13,20000
Bartenders,638396.8594,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",22600,Retail/Services,,,,,,,,,,,,,,,,,2,54750,14,14,20000
Dishwashers,509520.3784,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",22700,Retail/Services,,,,,,,,,,,,,,,,,2,57250,15,15,20000
"Food Servers, Nonrestaurant",272135.0621,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",23300,Retail/Services,,,,,,,,,,,,,,,,,2,59750,16,16,20000
