Rank,Major_code,Major,Total,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,Histogram_column,midpoint
1,2419,Chief Executives,260813.6701,2057,282,Management,Job can be conducted virtually,163600,Office,0.120564344,36,1976,1849,270,1207,37,0.018380527,95000,125000,1534,364,193,"(124.0, 20124.0]",1,"(108500, 111000]",1,109750
2,2416,General and Operations Managers,2380133.124,679,77,Management,Job can be conducted virtually,100500,Office,0.101851852,7,640,556,170,388,85,0.117241379,55000,90000,350,257,50,"(124.0, 20124.0]",1,"(73500, 76000]",1,74750
3,2415,Legislators,58777.67061,725,131,Management,Job can be made virtual with institutional investments and planning,24600,Institutional,0.153037383,3,648,558,133,340,16,0.024096386,50000,105000,456,176,0,"(124.0, 20124.0]",1,"(71000, 73500]",1,72250
4,2417,Advertising and Promotions Managers,28503.87186,1123,135,Management,Job can be conducted virtually,109100,Office,0.107313196,16,758,1069,150,692,40,0.050125313,43000,80000,529,102,0,"(124.0, 20124.0]",1,"(68500, 71000]",1,69750
5,2405,Marketing Managers,260375.9933,21239,11021,Management,Job can be conducted virtually,129300,Office,0.341630502,289,25694,23170,5180,16697,1672,0.061097712,50000,75000,18314,4440,972,"(20124.0, 40124.0]",1,"(63500, 66000]",1,64750
6,2418,Sales Managers,394384.0853,2200,373,Management,Job can be conducted virtually,122200,Office,0.144966965,17,1857,2038,264,1449,400,0.177226407,50000,102000,1142,657,244,"(124.0, 20124.0]",1,"(63500, 66000]",2,64750
7,6202,Public Relations and Fundraising Managers,76903.99439,2110,1667,Management,Job can be conducted virtually,114800,Office,0.441355573,51,2912,2924,296,2482,308,0.095652174,53000,72000,1768,314,259,"(124.0, 20124.0]",1,"(61000, 63500]",1,62250
8,5001,Administrative Services Managers,294644.4178,832,960,Management,Job can be conducted virtually,95900,Office,0.535714286,10,1526,1085,553,827,33,0.021167415,31500,109000,972,500,220,"(124.0, 20124.0]",1,"(61000, 63500]",2,62250
9,2414,Computer and Information Systems Managers,408447.5687,80320,10907,Management,Job can be conducted virtually,141400,Office,0.119558903,1029,76442,71298,13101,54639,4650,0.057342278,48000,70000,52844,16384,3253,"(80124.0, 100124.0]",1,"(58500, 61000]",1,59750
10,2408,Financial Managers,645125.3231,65511,16016,Management,Job can be conducted virtually,126300,Office,0.196450256,631,61928,55450,12695,41413,3895,0.059173845,45000,72000,45829,10874,3170,"(80124.0, 100124.0]",1,"(58500, 61000]",2,59750
11,2407,Industrial Production Managers,185498.3198,33258,8284,Management,"Cannot work remotely, essential",101900,Office,0.199412643,399,32506,30315,5146,23621,2275,0.065409275,45000,75000,23694,5721,980,"(40124.0, 60124.0]",1,"(58500, 61000]",3,59750
12,2401,Purchasing Managers,73675.55884,12953,2105,Management,Job can be conducted virtually,118100,Office,0.139792801,147,11391,11106,2724,8790,794,0.065162085,42000,70000,8184,2425,372,"(124.0, 20124.0]",1,"(58500, 61000]",4,59750
13,2404,"Transportation, Storage, and Distribution Managers",134334.0822,8407,6548,Management,Job can be conducted virtually,93600,Office,0.437846874,79,10047,9017,2694,5986,1019,0.09208386,36000,70000,6439,2471,789,"(124.0, 20124.0]",1,"(58500, 61000]",5,59750
